                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 2.1696,                 1.0707,                0.99092,                0.66207,                0.58586,                0.60435,                0.20194,                   2.32,                 1.5817,                 1.0187,               0.001109,               0.001109,               0.001109
                     48,                 2.0848,                 1.0867,                0.97322,                0.59367,                0.58294,                0.54943,                0.18523,                 2.3512,                 1.7093,                  1.025,              0.0010892,              0.0010892,              0.0010892
                     49,                  2.056,                  1.078,                 1.0045,                0.61601,                0.60101,                0.57533,                0.19532,                  2.311,                 1.6738,                 1.0141,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.2887,                 1.1317,                0.98239,                0.66065,                0.59596,                0.59094,                 0.2081,                 2.2544,                 1.5368,                 1.0073,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.1009,                 1.0678,                0.96075,                0.68825,                0.58586,                0.60587,                0.20447,                 2.3213,                  1.489,                 1.0206,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.1553,                 1.0678,                0.98941,                0.74166,                0.59449,                0.62759,                0.20436,                 2.3671,                 1.4815,                 1.0372,                0.00101,                0.00101,                0.00101
                     53,                 2.1869,                 1.0669,                 1.0128,                0.70721,                0.62215,                0.62052,                0.20927,                 2.3571,                 1.4848,                 1.0359,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.1494,                 1.0723,                0.98449,                0.70568,                0.61759,                0.61709,                0.21132,                  2.334,                 1.4896,                 1.0284,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.1981,                 1.0314,                0.94209,                0.73334,                0.62501,                0.62399,                0.21509,                 2.3226,                 1.4874,                 1.0197,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.1525,                 1.0779,                 0.9787,                0.71046,                0.64141,                0.63332,                0.21383,                 2.3152,                 1.4878,                  1.018,              0.0009308,              0.0009308,              0.0009308
                     57,                  2.129,                 1.0672,                0.98933,                0.69816,                0.67172,                0.64266,                0.21856,                  2.305,                 1.4559,                 1.0173,               0.000911,               0.000911,               0.000911
                     58,                 2.2597,                 1.0495,                0.94683,                0.71549,                0.65657,                0.64419,                 0.2176,                 2.3314,                 1.4552,                 1.0227,              0.0008912,              0.0008912,              0.0008912
