                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.7285,                0.68775,                0.86225,                0.90935,                0.90808,                0.94521,                0.46364,                 1.7432,                0.69665,                0.86519,              0.0005546,              0.0005546,              0.0005546
                     75,                  1.726,                0.68086,                0.86416,                0.93858,                 0.9283,                0.95465,                0.46267,                 1.7224,                0.68529,                 0.8649,              0.0005348,              0.0005348,              0.0005348
                     75,                  1.726,                0.68086,                0.86416,                0.93858,                 0.9283,                0.95465,                0.46267,                 1.7224,                0.68529,                 0.8649,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.7217,                0.68328,                0.86499,                0.93459,                0.91445,                0.94851,                0.46896,                 1.7229,                0.69368,                 0.8645,               0.000515,               0.000515,               0.000515
                     76,                 1.7217,                0.68328,                0.86499,                0.93459,                0.91445,                0.94851,                0.46896,                 1.7229,                0.69368,                 0.8645,               0.000515,               0.000515,               0.000515
                     77,                 1.7227,                 0.6801,                0.86083,                0.93847,                  0.923,                0.95021,                0.47154,                 1.7075,                0.69445,                0.86319,              0.0004952,              0.0004952,              0.0004952
                     77,                 1.7227,                 0.6801,                0.86083,                0.93847,                  0.923,                0.95021,                0.47154,                 1.7075,                0.69445,                0.86319,              0.0004952,              0.0004952,              0.0004952
                     78,                  1.717,                 0.6799,                0.85935,                0.93226,                0.92878,                0.95416,                 0.4715,                  1.706,                 0.6815,                0.86292,              0.0004754,              0.0004754,              0.0004754
                     78,                  1.717,                 0.6799,                0.85935,                0.93226,                0.92878,                0.95416,                 0.4715,                  1.706,                 0.6815,                0.86292,              0.0004754,              0.0004754,              0.0004754
                     61,                 1.7609,                0.70005,                0.86663,                0.93121,                0.91851,                0.95295,                0.47091,                 1.7106,                0.69848,                0.86393,               0.000812,               0.000812,               0.000812
                     62,                 1.7832,                0.70473,                0.86308,                0.93032,                0.92518,                0.95508,                0.47613,                 1.7115,                0.68685,                0.86422,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.7685,                0.70003,                0.86768,                0.93443,                0.91206,                0.94964,                0.47152,                 1.7342,                0.69317,                0.86356,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.7599,                0.69433,                0.86681,                0.93632,                 0.9198,                0.95557,                0.47283,                  1.735,                0.69116,                0.86354,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.7743,                0.70208,                0.86888,                0.94332,                0.91296,                0.95034,                0.45848,                 1.7365,                 0.7028,                0.86482,              0.0007328,              0.0007328,              0.0007328
